title,year
"Enemy",2013
"Hi, Mom!",1980
"Rescue Dawn",2006
"Dances with Wolves",1990
"Waterworld",1995
"Inside",2023
"Three Billboards Outside Ebbing, Missouri",2017
"The Beach",2000
"Clerks II",2006
"Insidious",2011
"The King of Kong: A Fistful of Quarters",2007
"Ghost Ship",2002
"Sleeping Beauty",1959
"Poltergeist",1982
"Vacation Friends 2",2023
"White Boy Rick",2018
"Invincible",2006
"Gunner",2024
"Triple Frontier",2019
"Fool's Gold",2008
"Frozen",2010
"Meet the Parents",2000
"Pearl",2022
"Murder on the Orient Express",2017
"Nobody",2021
"The Revenant",2015
"Furiosa: A Mad Max Saga",2024
"A Quiet Place: Day One",2024
"Lost Highway",1997
"Blink Twice",2024
"Demolition",2016
"A Different Man",2024
"10 Things I Hate About You",1999
"Trap",2024
"Crazy, Stupid, Love.",2011
"Twilight of the Warriors: Walled In",2024
"Patriot Games",1992
"Reptile",2023
"Barbarian",2022
"X",2022
"We Live in Time",2024
"Guy Ritchie's the Covenant",2023
"Zero Dark Thirty",2012
"Notting Hill",1999
"Logan Lucky",2017
"Strange Darling",2024
"Hostiles",2017
"Side Effects",2013
"A Real Pain",2024
"Kill 'Em All",2017
"Matewan",1987
"Heretic",2024
"The Gambler",1975
"Green Zone",2010
"Late Night with the Devil",2024
"Wrath of Man",2021
"Riders of Justice",2020
"Ricky Stanicky",2024
"The Order",2024
"Nosferatu",2024
"Away",2019
"Cuckoo",2024
"The Wild Robot",2024
"Judas and the Black Messiah",2021
"Anora",2024
"The Grinch",2018
"The Big Red One",1980
"Red One",2024
"Carry-On",2024
"Armor",2024
"Absolution",2024
"The Substance",2024
"Between the Temples",2024
"Alien: Romulus",2024
"The Ministry of Ungentlemanly Warfare",2024
"In the Land of Saints and Sinners",2023
"Boy Kills World",2024
"The Way Back",2020
"The Accountant",2016
"M3GAN",2022
"Abigail",2024
"Kingdom of the Planet of the Apes",2024
"Shooter",2007
"Jackpot!",2024
"Daddy Day Care",2003
"A Serious Man",2009
"Sicario: Day of the Soldado",2018
"Margin Call",2011
"Get Out",2017
"Big Trouble in Little China",1986
"Bram Stoker's Dracula",1992
"Five Nights at Freddy's",2023
"Scream VI",2023
"Ghostbusters II",1989
"Alien Resurrection",1997
"Unbreakable",2000
"Swingers",1996
"A Quiet Place Part II",2021
"The Forever Purge",2021
"The First Purge",2018
"The Purge: Election Year",2016
"The Purge: Anarchy",2014
"The Family Plan",2023
"MaXXXine",2024
"Ezra",2024
"The Instigators",2024
"Monkey Man",2024
"Dune: Part Two",2024
"Perfect Days",2023
"Road House",2024
"Love Lies Bleeding",2024
"Daddio",2024
"Thelma",2024
"10 Cloverfield Lane",2016
"Bad Boys: Ride or Die",2024
"Fences",2016
"Longlegs",2024
"Hit Man",2023
"Beverly Hills Cop: Axel F",2024
"The Bikeriders",2024
